FACILITY_TICKET_ID,TICKET_ID,FACILITY_ID,TIMESTAMP
189,536,FAC114,2020/6/9 3:26
190,36,FAC141,2020/4/6 4:24
191,452,FAC104,2020/7/21 14:43
192,317,FAC119,2020/4/27 20:58
193,398,FAC123,2020/2/11 10:23
194,976,FAC120,2020/6/18 22:03
195,444,FAC141,2020/3/19 21:07
196,638,FAC104,2019/12/26 21:32
197,365,FAC140,2020/1/3 17:39
198,572,FAC140,2020/2/14 18:16
199,223,FAC110,2020/4/24 7:35
200,703,FAC127,2019/12/20 18:49
201,33,FAC112,2019/11/27 5:47
202,774,FAC114,2020/1/16 0:15
203,162,FAC108,2019/12/3 1:32
204,77,FAC121,2020/3/20 19:03
205,978,FAC102,2019/11/25 4:41
206,453,FAC122,2020/6/30 20:18
207,695,FAC124,2020/6/28 22:34
208,813,FAC116,2020/4/18 1:52
209,226,FAC126,2019/11/4 1:29
210,502,FAC142,2019/11/25 23:09
211,626,FAC140,2020/2/28 3:17
212,292,FAC119,2020/5/26 7:40
213,486,FAC102,2020/6/21 8:05
214,384,FAC123,2019/11/28 7:59
215,432,FAC134,2020/6/18 19:44
216,79,FAC132,2020/7/22 11:41
217,845,FAC139,2020/6/30 22:58
218,32,FAC111,2020/1/17 20:04
219,575,FAC142,2020/4/24 6:52
220,994,FAC127,2019/12/26 19:07
221,239,FAC107,2020/8/13 23:24
222,491,FAC136,2019/12/30 14:12
223,443,FAC136,2020/4/2 23:29
224,810,FAC142,2020/5/31 5:45
225,358,FAC104,2020/7/27 14:21
226,234,FAC141,2020/1/30 8:08
227,529,FAC125,2020/7/13 22:50
228,75,FAC123,2020/6/15 20:08
229,580,FAC103,2020/8/12 16:22
230,921,FAC138,2020/5/18 14:38
231,4,FAC112,2020/7/24 11:16
232,239,FAC139,2020/8/13 22:03
233,85,FAC138,2020/5/27 7:33
234,430,FAC111,2020/1/15 6:41
235,275,FAC136,2020/5/5 4:50
236,789,FAC120,2019/11/12 8:12
237,853,FAC123,2019/11/21 10:04
238,322,FAC122,2019/11/20 11:12
239,233,FAC130,2020/2/13 23:09
240,887,FAC124,2020/1/8 17:27
241,298,FAC134,2020/6/11 2:56
242,957,FAC106,2020/1/9 23:25
243,964,FAC122,2020/4/16 17:51
244,216,FAC127,2019/11/8 23:56
245,347,FAC129,2020/8/8 20:15
246,607,FAC122,2019/12/21 22:30
247,79,FAC142,2020/7/22 1:13
248,202,FAC116,2020/6/16 15:56
249,921,FAC116,2020/5/18 18:42
250,299,FAC104,2020/2/18 0:18
251,54,FAC134,2019/12/25 3:15
252,525,FAC134,2020/5/6 19:21
253,845,FAC137,2020/6/30 5:06
254,75,FAC121,2020/6/15 11:11
255,911,FAC128,2020/6/29 19:08
256,125,FAC124,2020/1/14 5:31
257,561,FAC122,2020/1/24 13:04
258,37,FAC136,2020/3/9 15:42
259,200,FAC125,2020/4/30 19:31
260,506,FAC116,2020/3/27 11:14
261,479,FAC136,2019/12/13 3:01
262,471,FAC109,2019/12/10 9:16
263,178,FAC113,2020/7/14 13:12
264,444,FAC113,2020/3/19 6:19
265,72,FAC130,2020/3/22 6:43
266,135,FAC102,2020/4/24 22:21
267,345,FAC117,2020/3/18 0:55
268,352,FAC107,2020/4/13 12:27
269,334,FAC131,2020/6/3 15:46
270,183,FAC126,2020/6/9 1:52
271,157,FAC106,2020/3/6 4:09
272,384,FAC107,2019/11/28 23:49
273,354,FAC102,2020/5/22 17:27
274,961,FAC133,2020/6/9 16:20
275,768,FAC142,2020/3/28 3:34
276,246,FAC125,2020/2/2 9:15
277,70,FAC117,2020/1/11 7:49
278,652,FAC111,2020/4/17 8:11
279,789,FAC142,2019/11/12 2:35
280,205,FAC135,2020/4/30 22:17
281,504,FAC131,2020/3/21 10:48
282,897,FAC104,2020/5/25 1:21
283,854,FAC129,2019/11/12 3:06
284,114,FAC111,2020/7/27 10:33
285,689,FAC123,2020/1/25 10:08
286,797,FAC126,2020/3/8 11:57
287,255,FAC117,2019/11/15 12:40
288,508,FAC132,2020/7/12 12:27
289,334,FAC138,2020/6/3 11:19
290,851,FAC142,2020/1/16 0:27
291,78,FAC103,2019/12/15 8:41
292,381,FAC129,2019/11/14 13:30
293,161,FAC112,2020/3/23 22:55
294,194,FAC123,2020/2/2 17:52
295,169,FAC104,2020/7/21 0:01
296,792,FAC127,2019/12/13 17:33
297,112,FAC135,2020/5/30 13:30
298,964,FAC134,2020/4/16 2:27
299,354,FAC125,2020/5/22 12:18
300,168,FAC126,2020/6/28 11:25
301,867,FAC101,2020/6/9 7:27
302,661,FAC110,2020/6/20 13:53
303,224,FAC125,2020/2/13 21:16
304,239,FAC110,2020/8/13 18:31
305,630,FAC128,2019/12/22 10:07
306,790,FAC123,2019/11/10 8:01
307,646,FAC108,2020/4/4 21:03
308,7,FAC140,2020/6/17 14:30
309,843,FAC110,2020/5/10 9:45
310,649,FAC111,2019/12/29 11:51
311,263,FAC116,2020/3/1 23:30
312,820,FAC125,2020/4/7 11:20
313,245,FAC124,2020/7/29 1:46
314,54,FAC120,2019/12/25 23:53
315,891,FAC134,2020/4/1 15:09
316,670,FAC133,2020/7/31 2:06
317,301,FAC128,2020/4/21 18:22
318,865,FAC124,2020/4/26 4:45
319,876,FAC142,2020/6/3 21:51
320,872,FAC124,2019/12/23 22:30
321,350,FAC134,2020/4/23 23:26
322,825,FAC117,2020/3/21 11:44
323,912,FAC116,2020/7/25 2:13
324,921,FAC107,2020/5/18 0:03
325,321,FAC111,2020/8/7 2:41
326,799,FAC130,2019/12/6 16:54
327,453,FAC107,2020/6/30 7:04
328,589,FAC135,2020/5/5 20:17
329,367,FAC111,2019/12/25 19:45
330,926,FAC109,2020/7/1 5:05
331,576,FAC116,2020/7/28 9:48
332,496,FAC117,2020/4/20 19:02
333,84,FAC139,2020/1/4 21:40
334,522,FAC107,2020/3/12 10:05
335,268,FAC103,2020/6/19 6:41
336,476,FAC123,2020/6/30 5:12
337,224,FAC124,2020/2/13 7:12
338,568,FAC137,2020/7/29 15:26
339,621,FAC103,2020/4/30 18:49
340,951,FAC107,2020/1/25 21:10
341,957,FAC122,2020/1/9 14:58
342,745,FAC122,2020/8/6 20:39
343,68,FAC141,2020/4/1 9:14
344,107,FAC136,2020/6/28 8:59
345,404,FAC140,2019/12/13 10:25
346,184,FAC108,2020/7/17 23:47
347,36,FAC123,2020/4/6 2:20
348,891,FAC126,2020/4/1 16:50
349,959,FAC112,2019/11/23 5:56
350,222,FAC106,2020/4/23 13:17
351,985,FAC103,2019/11/23 5:08
352,999,FAC135,2020/3/19 17:25
353,631,FAC102,2019/12/27 21:44
354,697,FAC130,2020/5/4 9:37
355,253,FAC141,2020/3/14 13:33
356,400,FAC113,2020/6/29 7:08
357,558,FAC109,2020/7/13 14:38
358,134,FAC123,2020/4/1 0:16
359,413,FAC130,2020/5/2 21:27
360,197,FAC112,2020/2/10 4:23
361,779,FAC140,2020/5/12 17:14
362,67,FAC105,2019/11/10 18:21
363,471,FAC138,2019/12/10 17:58
364,79,FAC124,2020/7/22 14:55
365,613,FAC118,2019/11/13 14:18
366,522,FAC121,2020/3/12 19:45
367,512,FAC136,2020/7/13 1:42
368,744,FAC134,2020/4/5 19:09
369,371,FAC141,2020/5/10 8:47
370,856,FAC139,2019/12/6 16:41
371,525,FAC136,2020/5/6 13:40
372,310,FAC106,2019/11/7 8:39
373,132,FAC123,2020/6/16 21:29
374,549,FAC110,2020/3/9 17:00
375,301,FAC107,2020/4/21 12:40
376,64,FAC130,2020/4/1 14:14
377,119,FAC105,2020/6/4 2:10
378,930,FAC112,2020/3/17 18:51
379,296,FAC105,2019/12/18 22:10
380,225,FAC128,2020/2/27 10:18
381,771,FAC129,2020/3/25 11:31
382,807,FAC104,2020/3/20 13:30
383,628,FAC113,2020/2/29 3:20
384,99,FAC127,2019/11/8 12:16
385,587,FAC122,2020/7/25 8:06
386,131,FAC120,2020/1/14 1:57
387,693,FAC137,2020/8/4 3:56
388,946,FAC128,2020/8/12 21:56
389,170,FAC129,2020/5/24 19:25
390,291,FAC128,2020/5/27 19:21
391,968,FAC135,2019/11/24 13:05
392,405,FAC132,2019/12/3 22:15
393,904,FAC105,2020/1/28 17:38
394,149,FAC127,2020/5/10 4:57
395,771,FAC137,2020/3/25 8:57
396,712,FAC120,2020/7/28 18:29
397,304,FAC105,2020/3/16 2:54
398,911,FAC114,2020/6/29 0:14
399,18,FAC134,2020/6/22 3:29
400,621,FAC104,2020/4/30 18:43
401,232,FAC141,2020/1/18 19:15
402,43,FAC141,2020/6/25 19:18
403,775,FAC124,2020/7/29 23:00
404,439,FAC102,2020/6/27 0:36
405,534,FAC101,2020/7/27 2:43
406,589,FAC125,2020/5/5 10:00
407,770,FAC137,2020/1/21 11:20
408,144,FAC141,2019/12/10 16:34
409,385,FAC120,2020/5/21 19:01
410,627,FAC141,2020/7/17 15:57
411,72,FAC137,2020/3/22 23:33
412,16,FAC110,2020/3/20 6:03
413,236,FAC115,2020/6/12 12:56
414,178,FAC102,2020/7/14 20:55
415,447,FAC139,2020/8/13 1:31
416,436,FAC109,2020/1/3 13:07
417,19,FAC126,2020/5/10 11:44
418,917,FAC119,2020/4/27 17:24
419,749,FAC126,2019/12/8 9:26
420,436,FAC136,2020/1/3 8:21
421,390,FAC140,2020/6/27 15:20
422,88,FAC106,2020/1/6 7:37
423,677,FAC102,2020/8/12 14:02
424,481,FAC110,2020/7/2 6:14
425,276,FAC126,2020/7/21 7:22
426,766,FAC107,2019/12/2 6:34
427,807,FAC139,2020/3/20 0:30
428,930,FAC141,2020/3/17 2:59
429,694,FAC105,2020/4/11 19:57
430,525,FAC113,2020/5/6 17:16
431,147,FAC119,2020/4/20 6:11
432,360,FAC133,2020/8/7 21:57
433,806,FAC110,2020/3/12 4:13
434,143,FAC128,2020/6/26 14:53
435,758,FAC114,2020/7/29 2:33
436,795,FAC102,2019/12/4 9:23
437,669,FAC106,2020/1/12 8:25
438,961,FAC128,2020/6/9 8:29
439,142,FAC128,2020/7/23 10:23
440,156,FAC104,2020/1/15 17:42
441,98,FAC119,2019/11/21 17:49
442,471,FAC117,2019/12/10 14:58
443,61,FAC108,2020/1/16 10:00
444,441,FAC135,2020/5/11 4:35
445,255,FAC107,2019/11/15 20:57
446,803,FAC132,2019/12/31 9:16
447,571,FAC141,2020/3/8 0:45
448,383,FAC110,2020/2/28 7:28
449,566,FAC130,2019/12/9 2:23
450,210,FAC106,2020/7/19 11:42
451,685,FAC125,2020/5/19 3:41
452,742,FAC136,2020/2/15 22:19
453,371,FAC125,2020/5/10 2:02
454,211,FAC112,2019/12/12 12:22
455,848,FAC108,2019/11/10 7:57
456,157,FAC126,2020/3/6 12:53
457,426,FAC101,2020/4/10 13:53
458,699,FAC141,2020/3/13 8:29
459,515,FAC102,2020/2/20 9:39
460,93,FAC131,2019/12/17 3:48
461,610,FAC125,2020/7/22 6:12
462,960,FAC124,2020/6/23 9:23
463,600,FAC119,2019/12/27 0:00
464,887,FAC101,2020/1/8 2:10
465,346,FAC130,2020/4/20 12:41
466,940,FAC122,2019/11/17 7:39
467,588,FAC110,2020/2/24 8:17
468,57,FAC108,2020/6/19 12:59
469,756,FAC123,2019/12/21 21:35
470,853,FAC130,2019/11/21 8:20
471,304,FAC131,2020/3/16 18:01
472,982,FAC120,2020/6/21 5:14
473,269,FAC134,2020/3/30 18:11
474,295,FAC116,2019/12/6 11:17
475,29,FAC137,2020/5/27 0:46
476,262,FAC137,2020/4/11 6:30
477,404,FAC141,2019/12/13 14:29
478,522,FAC123,2020/3/12 21:17
479,949,FAC112,2020/3/8 19:19
480,859,FAC132,2020/5/22 5:13
481,132,FAC109,2020/6/16 11:25
482,311,FAC108,2020/7/14 1:18
483,818,FAC129,2020/2/8 19:49
484,999,FAC119,2020/3/19 9:42
485,123,FAC134,2020/3/18 0:45
486,452,FAC121,2020/7/21 4:01
487,606,FAC119,2020/5/7 8:12
488,998,FAC139,2020/4/8 11:20
489,224,FAC123,2020/2/13 18:50
490,541,FAC122,2020/5/20 7:13
491,321,FAC139,2020/8/7 13:59
492,757,FAC141,2020/3/10 19:29
493,88,FAC129,2020/1/6 14:42
494,384,FAC116,2019/11/28 11:05
495,972,FAC132,2020/3/19 7:10
496,29,FAC124,2020/5/27 12:57
497,201,FAC103,2020/2/23 13:26
498,174,FAC126,2020/1/28 16:02
499,701,FAC131,2020/6/11 23:50
500,478,FAC104,2020/4/22 7:18
501,870,FAC110,2020/7/4 1:40
502,838,FAC134,2020/8/11 22:42
503,978,FAC124,2019/11/25 7:50
504,394,FAC137,2020/6/15 18:12
505,822,FAC103,2020/5/19 10:26
506,850,FAC129,2020/6/1 7:03
507,917,FAC108,2020/4/27 19:46
508,540,FAC134,2020/1/7 14:50
509,777,FAC136,2019/11/7 12:25
510,824,FAC136,2020/7/10 7:16
511,919,FAC138,2020/6/29 11:50
512,101,FAC135,2019/12/12 13:15
513,320,FAC130,2019/11/7 23:19
514,975,FAC101,2020/4/9 13:50
515,928,FAC126,2020/4/13 5:39
516,110,FAC109,2020/7/25 3:06
517,614,FAC102,2020/7/30 7:57
518,531,FAC127,2020/5/23 14:48
519,433,FAC133,2020/7/12 9:26
520,760,FAC137,2019/11/30 3:18
521,834,FAC140,2019/11/6 5:08
522,917,FAC122,2020/4/27 3:11
523,671,FAC142,2020/7/10 20:47
524,90,FAC130,2020/7/21 23:15
525,149,FAC110,2020/5/10 21:39
526,243,FAC120,2020/5/12 7:02
527,464,FAC142,2020/3/4 5:41
528,921,FAC123,2020/5/18 9:01
529,178,FAC115,2020/7/14 3:34
530,646,FAC128,2020/4/4 23:55
531,503,FAC121,2020/4/13 3:30
532,187,FAC118,2020/6/20 21:01
533,786,FAC140,2019/11/6 4:53
534,524,FAC128,2020/8/4 17:12
535,59,FAC114,2020/1/24 22:46
536,14,FAC129,2020/1/16 18:23
537,283,FAC130,2020/5/27 9:48
538,84,FAC132,2020/1/4 15:20
539,463,FAC122,2020/1/30 6:46
540,437,FAC105,2020/8/6 23:13
541,106,FAC109,2020/1/1 13:04
542,52,FAC104,2020/5/18 20:48
543,493,FAC129,2020/3/21 23:40
544,63,FAC103,2020/3/20 4:03
545,37,FAC142,2020/3/9 8:46
546,95,FAC126,2020/1/5 14:09
547,986,FAC122,2019/12/16 23:41
548,438,FAC111,2020/4/9 9:38
549,327,FAC127,2020/6/30 7:04
550,757,FAC110,2020/3/10 7:58
551,336,FAC116,2020/2/10 9:40
552,501,FAC118,2020/8/8 5:02
553,507,FAC142,2020/5/8 1:21
554,544,FAC132,2020/6/19 15:34
555,885,FAC128,2020/6/25 21:19
556,172,FAC126,2019/11/27 12:45
557,187,FAC104,2020/6/20 23:17
558,717,FAC128,2020/3/29 13:36
559,805,FAC129,2020/1/24 3:25
560,180,FAC135,2020/7/8 1:44
561,752,FAC101,2020/3/22 13:20
562,265,FAC132,2020/1/11 4:54
563,320,FAC120,2019/11/7 0:27
564,845,FAC110,2020/6/30 18:04
565,215,FAC136,2019/12/1 16:52
566,435,FAC134,2020/7/11 5:36
567,687,FAC112,2020/7/10 15:40
568,547,FAC129,2020/2/26 22:59
569,946,FAC133,2020/8/12 16:49
570,291,FAC109,2020/5/27 6:23
571,469,FAC137,2020/4/20 19:22
572,176,FAC127,2020/2/26 19:16
573,471,FAC135,2019/12/10 5:42
574,396,FAC141,2020/3/26 2:58
575,457,FAC114,2020/7/1 2:39
576,594,FAC116,2020/5/18 22:15
577,32,FAC103,2020/1/17 4:32
578,153,FAC131,2019/11/1 2:15
579,595,FAC106,2020/3/22 1:47
580,247,FAC108,2019/11/25 11:27
581,321,FAC110,2020/8/7 20:10
582,506,FAC127,2020/3/27 1:59
583,704,FAC142,2020/5/2 8:09
584,990,FAC137,2020/2/11 16:27
585,538,FAC102,2020/1/29 21:28
586,814,FAC131,2020/7/5 8:54
587,945,FAC139,2020/3/4 2:02
588,669,FAC107,2020/1/12 15:39
589,735,FAC118,2020/4/16 7:41
590,866,FAC127,2019/11/27 10:20
591,848,FAC127,2019/11/10 8:50
592,336,FAC141,2020/2/10 21:46
593,534,FAC106,2020/7/27 10:01
594,975,FAC129,2020/4/9 20:03
595,840,FAC101,2020/1/29 21:18
596,851,FAC104,2020/1/16 5:28
597,138,FAC114,2020/1/19 0:11
598,342,FAC107,2019/12/2 8:15
599,600,FAC118,2019/12/27 12:07
600,756,FAC121,2019/12/21 22:20
601,424,FAC117,2020/4/25 20:38
602,798,FAC113,2020/6/17 23:35
603,157,FAC121,2020/3/6 5:23
604,51,FAC103,2020/2/6 2:18
605,270,FAC116,2020/8/7 7:02
606,846,FAC107,2020/8/1 18:19
607,330,FAC115,2020/4/12 23:10
608,766,FAC110,2019/12/2 3:50
609,659,FAC130,2020/3/25 14:45
610,385,FAC140,2020/5/21 1:21
611,20,FAC126,2019/11/22 14:33
612,541,FAC103,2020/5/20 2:52
613,506,FAC109,2020/3/27 19:39
614,368,FAC105,2019/12/4 10:16
615,667,FAC128,2020/8/6 6:20
616,511,FAC128,2020/5/10 22:15
617,486,FAC107,2020/6/21 6:10
618,352,FAC103,2020/4/13 3:53
619,719,FAC127,2019/11/24 14:39
620,719,FAC109,2019/11/24 1:39
621,807,FAC127,2020/3/20 2:24
622,988,FAC131,2019/12/6 8:25
623,525,FAC116,2020/5/6 4:57
624,676,FAC140,2020/6/12 18:14
625,118,FAC142,2020/3/7 11:18
626,986,FAC104,2019/12/16 0:21
627,911,FAC124,2020/6/29 14:29
628,89,FAC102,2020/3/22 17:27
629,652,FAC128,2020/4/17 4:57
630,879,FAC107,2020/5/26 7:36
631,623,FAC118,2020/1/27 0:55
632,956,FAC111,2019/11/15 14:57
633,463,FAC123,2020/1/30 1:39
634,449,FAC128,2020/2/19 15:35
635,18,FAC101,2020/6/22 3:15
636,236,FAC136,2020/6/12 6:50
637,775,FAC126,2020/7/29 5:03
638,194,FAC120,2020/2/2 22:33
639,821,FAC120,2020/2/9 2:42
640,585,FAC121,2019/11/6 10:37
641,949,FAC135,2020/3/8 8:31
642,490,FAC116,2020/7/13 5:22
643,30,FAC105,2020/1/8 2:51
644,529,FAC140,2020/7/13 23:27
645,109,FAC102,2020/6/8 23:13
646,201,FAC121,2020/2/23 4:46
647,239,FAC127,2020/8/13 14:46
648,2,FAC113,2019/11/27 13:52
649,117,FAC121,2020/6/30 21:53
650,866,FAC137,2019/11/27 19:27
651,131,FAC133,2020/1/14 22:08
652,566,FAC120,2019/12/9 13:04
653,57,FAC139,2020/6/19 9:46
654,659,FAC129,2020/3/25 21:46
655,303,FAC136,2020/5/14 21:12
656,220,FAC141,2020/2/9 10:30
657,108,FAC102,2020/3/19 11:32
658,578,FAC124,2019/12/10 10:02
659,711,FAC121,2020/3/17 21:22
660,833,FAC119,2020/3/25 15:04
661,240,FAC133,2020/6/2 12:07
662,5,FAC103,2019/12/18 0:33
663,781,FAC131,2020/4/29 18:28
664,611,FAC110,2020/1/7 1:15
665,10,FAC120,2019/11/29 0:00
666,263,FAC106,2020/3/1 8:58
667,956,FAC129,2019/11/15 22:43
668,45,FAC119,2020/3/10 11:18
669,847,FAC110,2020/5/31 4:31
670,122,FAC127,2020/6/20 12:08
671,209,FAC108,2020/5/9 22:10
672,71,FAC111,2019/11/25 10:13
673,177,FAC101,2020/3/29 21:56
674,309,FAC108,2020/4/4 7:42
675,901,FAC131,2020/2/17 18:26
676,280,FAC140,2020/4/3 16:48
677,289,FAC117,2020/1/17 3:09
678,70,FAC103,2020/1/11 23:45
679,995,FAC140,2019/12/15 18:47
680,251,FAC102,2019/11/25 21:36
681,482,FAC108,2020/7/7 21:54
682,666,FAC136,2020/6/22 19:36
683,886,FAC127,2020/1/30 23:12
684,590,FAC115,2019/12/11 23:41
685,262,FAC118,2020/4/11 3:54
686,921,FAC140,2020/5/18 3:22
687,32,FAC134,2020/1/17 19:27
688,293,FAC138,2020/8/8 18:22
689,898,FAC113,2020/3/25 6:29
690,666,FAC116,2020/6/22 0:52
691,158,FAC105,2020/6/24 3:13
692,322,FAC119,2019/11/20 16:25
693,84,FAC140,2020/1/4 0:02
694,782,FAC103,2020/5/22 11:35
695,944,FAC127,2019/12/2 1:22
