FACILITY_ID ,TICKET_ID ,FACILITY_DESC ,FACILITY_TYPE ,FACILITY_CAPACITY ,FACILITY_SUBTYPE ,LOCATION,TIMESTAMP
FAC118,55,Subway,Dinning,20,Classic Food,Near the Grand Carrousel,25/12/2019 19:19
FAC133,867,Halte Gourmande - Au Bol,Dinning,20,Mediterranean Dishes,Fort Edmonton,9/06/2020 07:58
FAC120,733,Moozoo 1,Dinning,20,Ice Cream and Sweets,Near the Vol Ultime,10/03/2020 11:21
FAC141,818,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath,8/02/2020 14:01
FAC142,291,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,27/05/2020 07:14
FAC123,299,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,18/02/2020 16:48
FAC126,598,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan,14/05/2020 02:05
FAC140,609,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Monstre,21/11/2019 08:28
FAC112,36,La Centrale Burgers & Frites,Dinning,20,Classic Food,Pays de Ribambelle,6/04/2020 07:23
FAC137,46,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Gare du Minirail,5/03/2020 17:33
FAC118,567,Subway,Dinning,20,Classic Food,Near the Grand Carrousel,15/04/2020 17:46
FAC108,915,Boutique Splash,Shopping,20,Appareal,Next to Splash,28/06/2020 22:25
FAC103,244,Photo Goliath,Shopping,20,Photos and Collectables,Near the Goliath,22/02/2020 15:13
FAC108,816,Boutique Splash,Shopping,20,Appareal,Next to Splash,23/06/2020 09:26
FAC128,948,Au Comptoir Frais,Dinning,20,Light Dishes,Next to Splash,10/03/2020 01:31
FAC129,798,Halte Gourmande - Au Bol,Dinning,20,Light Dishes,Fort Edmonton,17/06/2020 23:20
FAC117,728,Restaurant Lafleur,Dinning,20,Classic Food,Near the Vol Ultime,17/02/2020 02:10
FAC113,984,Pizza Ronde 1,Dinning,20,Italian Food,Near the Gare du Minirail,18/06/2020 19:15
FAC123,909,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,11/12/2019 08:10
FAC120,710,Moozoo 1,Dinning,20,Ice Cream and Sweets,Near the Vol Ultime,2/02/2020 07:28
FAC138,477,Popcorn & Cie,Dinning,20,Snacks & Beverages,Pays de Ribambelle,30/11/2019 09:29
FAC108,827,Boutique Splash,Shopping,20,Appareal,Next to Splash,11/07/2020 07:02
FAC111,131,Fines Poutines Plus,Dinning,20,Classic Food,Fort Edmonton,14/01/2020 23:45
FAC124,797,Queues De Castor 2,Dinning,20,Ice Cream and Sweets,Near the Monstre,8/03/2020 13:24
FAC134,739,Mucho Nacho Churros,Dinning,20,Mexican Food,Fort Edmonton,7/06/2020 00:41
FAC133,552,Halte Gourmande - Au Bol,Dinning,20,Mediterranean Dishes,Fort Edmonton,18/06/2020 03:33
FAC117,396,Restaurant Lafleur,Dinning,20,Classic Food,Near the Vol Ultime,26/03/2020 08:32
FAC111,994,Fines Poutines Plus,Dinning,20,Classic Food,Fort Edmonton,26/12/2019 06:29
FAC133,218,Halte Gourmande - Au Bol,Dinning,20,Mediterranean Dishes,Fort Edmonton,29/12/2019 22:06
FAC104,810,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance,31/05/2020 13:21
FAC103,699,Photo Goliath,Shopping,20,Photos and Collectables,Near the Goliath,13/03/2020 22:24
FAC141,38,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath,21/06/2020 19:57
FAC131,438,Sabra,Dinning,20,Light Dishes,Near the Tour de Ville,9/04/2020 23:44
FAC142,268,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,19/06/2020 10:49
FAC109,604,Yo! Chine,Dinning,20,Asian Food,Next to Splash,29/01/2020 17:12
FAC128,346,Au Comptoir Frais,Dinning,20,Light Dishes,Next to Splash,20/04/2020 00:42
FAC138,44,Popcorn & Cie,Dinning,20,Snacks & Beverages,Pays de Ribambelle,10/01/2020 06:01
FAC114,124,Pizza Ronde 2,Dinning,20,Italian Food,Near the Goliath,10/07/2020 10:45
FAC132,741,Amir,Dinning,20,Mediterranean Dishes,Fort Edmonton,10/07/2020 23:17
FAC123,354,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,22/05/2020 16:13
FAC133,631,Halte Gourmande - Au Bol,Dinning,20,Mediterranean Dishes,Fort Edmonton,27/12/2019 22:38
FAC127,44,Rolopan 2,Dinning,20,Ice Cream and Sweets,Near the Ednor,10/01/2020 22:20
FAC126,693,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan,4/08/2020 15:50
FAC101,88,Emporium,Shopping,20,Toys/Appareal/Sundries,Front entrance,6/01/2020 20:38
FAC114,991,Pizza Ronde 2,Dinning,20,Italian Food,Near the Goliath,9/11/2019 07:18
FAC125,168,Queues De Castor 3,Dinning,20,Ice Cream and Sweets,Near the Goliath,28/06/2020 06:49
FAC124,760,Queues De Castor 2,Dinning,20,Ice Cream and Sweets,Near the Monstre,30/11/2019 13:43
FAC118,668,Subway,Dinning,20,Classic Food,Near the Grand Carrousel,12/01/2020 11:24
FAC112,504,La Centrale Burgers & Frites,Dinning,20,Classic Food,Pays de Ribambelle,21/03/2020 23:25
FAC128,89,Au Comptoir Frais,Dinning,20,Light Dishes,Next to Splash,22/03/2020 05:12
FAC123,347,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,8/08/2020 21:51
FAC140,553,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Monstre,1/08/2020 19:17
FAC142,756,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,21/12/2019 02:20
FAC101,639,Emporium,Shopping,20,Toys/Appareal/Sundries,Front entrance,14/03/2020 13:19
FAC115,736,Pizza Ronde 3,Dinning,20,Italian Food,Fort Edmonton,15/02/2020 08:46
FAC141,672,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath,27/04/2020 23:09
FAC127,238,Rolopan 2,Dinning,20,Ice Cream and Sweets,Near the Ednor,3/03/2020 15:42
FAC136,847,Saloon,Dinning,20,Snacks & Beverages,Near the Tour de Ville,31/05/2020 09:37
FAC109,480,Yo! Chine,Dinning,20,Asian Food,Next to Splash,2/12/2019 22:35
FAC128,282,Au Comptoir Frais,Dinning,20,Light Dishes,Next to Splash,4/02/2020 09:16
FAC134,242,Mucho Nacho Churros,Dinning,20,Mexican Food,Fort Edmonton,18/03/2020 07:22
FAC130,313,Halte Gourmande - Le Marché,Dinning,20,Light Dishes,Fort Edmonton,28/01/2020 06:23
FAC114,538,Pizza Ronde 2,Dinning,20,Italian Food,Near the Goliath,29/01/2020 15:21
FAC117,224,Restaurant Lafleur,Dinning,20,Classic Food,Near the Vol Ultime,13/02/2020 05:03
FAC138,127,Popcorn & Cie,Dinning,20,Snacks & Beverages,Pays de Ribambelle,26/07/2020 11:41
FAC108,88,Boutique Splash,Shopping,20,Appareal,Next to Splash,6/01/2020 21:26
FAC121,370,Moozoo 2,Dinning,20,Ice Cream and Sweets,Next to Splash,18/02/2020 22:03
FAC137,745,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Gare du Minirail,6/08/2020 19:21
FAC124,199,Queues De Castor 2,Dinning,20,Ice Cream and Sweets,Near the Monstre,11/03/2020 20:02
FAC115,850,Pizza Ronde 3,Dinning,20,Italian Food,Fort Edmonton,1/06/2020 20:27
FAC126,939,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan,9/08/2020 06:01
FAC106,460,Boutique Du Far West,Shopping,20,Appareal,Fort Edmonton,11/11/2019 08:30
FAC127,941,Rolopan 2,Dinning,20,Ice Cream and Sweets,Near the Ednor,9/12/2019 15:15
FAC140,534,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Monstre,27/07/2020 07:18
FAC104,912,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance,25/07/2020 11:54
FAC136,952,Saloon,Dinning,20,Snacks & Beverages,Near the Tour de Ville,19/07/2020 22:31
FAC114,248,Pizza Ronde 2,Dinning,20,Italian Food,Near the Goliath,27/07/2020 01:43
FAC108,572,Boutique Splash,Shopping,20,Appareal,Next to Splash,14/02/2020 13:06
FAC138,930,Popcorn & Cie,Dinning,20,Snacks & Beverages,Pays de Ribambelle,17/03/2020 16:31
FAC115,737,Pizza Ronde 3,Dinning,20,Italian Food,Fort Edmonton,18/12/2019 03:55
FAC109,925,Yo! Chine,Dinning,20,Asian Food,Next to Splash,6/04/2020 00:16
FAC110,659,Fines Poutines Express,Dinning,20,Classic Food,Next to Splash,25/03/2020 16:35
FAC138,490,Popcorn & Cie,Dinning,20,Snacks & Beverages,Pays de Ribambelle,13/07/2020 06:39
FAC142,483,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,16/04/2020 01:16
FAC130,447,Halte Gourmande - Le Marché,Dinning,20,Light Dishes,Fort Edmonton,13/08/2020 13:45
FAC137,628,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Gare du Minirail,29/02/2020 22:12
FAC132,273,Amir,Dinning,20,Mediterranean Dishes,Fort Edmonton,1/08/2020 01:17
FAC109,97,Yo! Chine,Dinning,20,Asian Food,Next to Splash,25/07/2020 11:18
FAC141,380,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath,14/04/2020 14:29
FAC116,130,Poulet Etc.,Dinning,20,Classic Food,Near the Démon,11/04/2020 09:39
FAC126,706,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan,13/12/2019 05:48
FAC126,770,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan,21/01/2020 15:42
FAC140,696,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Monstre,27/12/2019 08:36
FAC117,601,Restaurant Lafleur,Dinning,20,Classic Food,Near the Vol Ultime,3/06/2020 02:06
FAC124,1000,Queues De Castor 2,Dinning,20,Ice Cream and Sweets,Near the Monstre,27/07/2020 14:24
FAC106,259,Boutique Du Far West,Shopping,20,Appareal,Fort Edmonton,26/02/2020 21:13
FAC119,470,Dippin' Dots,Dinning,20,Ice Cream and Sweets,Near the Grand Carrousel,23/04/2020 23:29
FAC121,649,Moozoo 2,Dinning,20,Ice Cream and Sweets,Next to Splash,29/12/2019 14:47
FAC123,930,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,17/03/2020 18:43
FAC140,571,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Monstre,8/03/2020 18:21
FAC123,40,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,30/11/2019 22:43
FAC115,355,Pizza Ronde 3,Dinning,20,Italian Food,Fort Edmonton,2/11/2019 14:42
FAC112,437,La Centrale Burgers & Frites,Dinning,20,Classic Food,Pays de Ribambelle,6/08/2020 13:58
FAC129,769,Halte Gourmande - Au Bol,Dinning,20,Light Dishes,Fort Edmonton,4/07/2020 18:25
FAC107,150,Boutique Spirale,Shopping,20,Appareal,Next to Spirale,19/01/2020 17:55
FAC124,809,Queues De Castor 2,Dinning,20,Ice Cream and Sweets,Near the Monstre,26/12/2019 17:35
FAC138,46,Popcorn & Cie,Dinning,20,Snacks & Beverages,Pays de Ribambelle,5/03/2020 01:51
FAC112,636,La Centrale Burgers & Frites,Dinning,20,Classic Food,Pays de Ribambelle,16/12/2019 01:22
FAC114,826,Pizza Ronde 2,Dinning,20,Italian Food,Near the Goliath,7/02/2020 12:21
FAC130,436,Halte Gourmande - Le Marché,Dinning,20,Light Dishes,Fort Edmonton,3/01/2020 11:17
FAC103,367,Photo Goliath,Shopping,20,Photos and Collectables,Near the Goliath,25/12/2019 14:03
FAC139,692,Popcorn & Cie,Dinning,20,Snacks & Beverages,Fort Edmonton,25/06/2020 20:05
FAC123,51,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,6/02/2020 12:24
FAC122,441,Moozoo 3,Dinning,20,Ice Cream and Sweets,Near the Démon,11/05/2020 11:55
FAC110,610,Fines Poutines Express,Dinning,20,Classic Food,Next to Splash,22/07/2020 05:39
FAC131,792,Sabra,Dinning,20,Light Dishes,Near the Tour de Ville,13/12/2019 05:38
FAC117,871,Restaurant Lafleur,Dinning,20,Classic Food,Near the Vol Ultime,7/03/2020 07:45
FAC118,409,Subway,Dinning,20,Classic Food,Near the Grand Carrousel,17/01/2020 12:22
FAC113,970,Pizza Ronde 1,Dinning,20,Italian Food,Near the Gare du Minirail,7/02/2020 06:45
FAC108,143,Boutique Splash,Shopping,20,Appareal,Next to Splash,26/06/2020 16:50
FAC116,265,Poulet Etc.,Dinning,20,Classic Food,Near the Démon,11/01/2020 06:35
FAC142,432,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,18/06/2020 11:15
FAC103,152,Photo Goliath,Shopping,20,Photos and Collectables,Near the Goliath,12/12/2019 12:55
FAC120,373,Moozoo 1,Dinning,20,Ice Cream and Sweets,Near the Vol Ultime,4/06/2020 22:27
FAC125,766,Queues De Castor 3,Dinning,20,Ice Cream and Sweets,Near the Goliath,2/12/2019 21:40
FAC136,111,Saloon,Dinning,20,Snacks & Beverages,Near the Tour de Ville,8/07/2020 00:39
FAC114,246,Pizza Ronde 2,Dinning,20,Italian Food,Near the Goliath,2/02/2020 07:46
FAC111,96,Fines Poutines Plus,Dinning,20,Classic Food,Fort Edmonton,18/02/2020 04:56
FAC126,822,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan,19/05/2020 03:22
FAC103,291,Photo Goliath,Shopping,20,Photos and Collectables,Near the Goliath,27/05/2020 02:21
FAC115,263,Pizza Ronde 3,Dinning,20,Italian Food,Fort Edmonton,1/03/2020 18:15
FAC134,491,Mucho Nacho Churros,Dinning,20,Mexican Food,Fort Edmonton,30/12/2019 09:07
FAC114,325,Pizza Ronde 2,Dinning,20,Italian Food,Near the Goliath,8/02/2020 13:55
FAC126,57,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan,19/06/2020 07:24
FAC142,797,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,8/03/2020 19:42
FAC121,847,Moozoo 2,Dinning,20,Ice Cream and Sweets,Next to Splash,31/05/2020 04:09
FAC105,717,Château Du Bonbon,Shopping,20,Candy,Secteur Village,29/03/2020 20:25
FAC127,888,Rolopan 2,Dinning,20,Ice Cream and Sweets,Near the Ednor,19/06/2020 16:15
FAC121,808,Moozoo 2,Dinning,20,Ice Cream and Sweets,Next to Splash,4/12/2019 21:01
FAC119,97,Dippin' Dots,Dinning,20,Ice Cream and Sweets,Near the Grand Carrousel,25/07/2020 16:58
FAC139,20,Popcorn & Cie,Dinning,20,Snacks & Beverages,Fort Edmonton,22/11/2019 20:01
FAC136,793,Saloon,Dinning,20,Snacks & Beverages,Near the Tour de Ville,3/12/2019 03:44
FAC113,378,Pizza Ronde 1,Dinning,20,Italian Food,Near the Gare du Minirail,12/12/2019 03:31
FAC113,615,Pizza Ronde 1,Dinning,20,Italian Food,Near the Gare du Minirail,11/12/2019 09:41
FAC115,409,Pizza Ronde 3,Dinning,20,Italian Food,Fort Edmonton,17/01/2020 20:29
FAC127,178,Rolopan 2,Dinning,20,Ice Cream and Sweets,Near the Ednor,14/07/2020 15:24
FAC102,884,Marchand Du Village,Shopping,20,Toys/Appareal/Sundries,Secteur Village,14/02/2020 10:40
FAC139,364,Popcorn & Cie,Dinning,20,Snacks & Beverages,Fort Edmonton,30/11/2019 11:39
FAC132,680,Amir,Dinning,20,Mediterranean Dishes,Fort Edmonton,2/12/2019 13:20
FAC131,203,Sabra,Dinning,20,Light Dishes,Near the Tour de Ville,18/01/2020 03:24
FAC110,565,Fines Poutines Express,Dinning,20,Classic Food,Next to Splash,16/05/2020 12:55
FAC137,738,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Gare du Minirail,18/06/2020 13:04
FAC115,285,Pizza Ronde 3,Dinning,20,Italian Food,Fort Edmonton,5/06/2020 21:15
FAC137,749,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Gare du Minirail,8/12/2019 03:02
FAC142,344,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,19/12/2019 11:51
FAC116,417,Poulet Etc.,Dinning,20,Classic Food,Near the Démon,31/12/2019 19:22
FAC120,90,Moozoo 1,Dinning,20,Ice Cream and Sweets,Near the Vol Ultime,21/07/2020 23:48
FAC105,418,Château Du Bonbon,Shopping,20,Candy,Secteur Village,7/03/2020 02:56
FAC119,526,Dippin' Dots,Dinning,20,Ice Cream and Sweets,Near the Grand Carrousel,24/05/2020 07:02
FAC123,680,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,2/12/2019 15:03
FAC121,807,Moozoo 2,Dinning,20,Ice Cream and Sweets,Next to Splash,20/03/2020 07:13
FAC139,213,Popcorn & Cie,Dinning,20,Snacks & Beverages,Fort Edmonton,1/03/2020 10:43
FAC133,90,Halte Gourmande - Au Bol,Dinning,20,Mediterranean Dishes,Fort Edmonton,21/07/2020 17:26
FAC123,895,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,18/01/2020 07:08
FAC124,306,Queues De Castor 2,Dinning,20,Ice Cream and Sweets,Near the Monstre,25/12/2019 13:34
FAC112,329,La Centrale Burgers & Frites,Dinning,20,Classic Food,Pays de Ribambelle,27/03/2020 03:38
FAC141,505,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath,26/01/2020 19:01
FAC111,333,Fines Poutines Plus,Dinning,20,Classic Food,Fort Edmonton,6/01/2020 13:07
FAC114,536,Pizza Ronde 2,Dinning,20,Italian Food,Near the Goliath,9/06/2020 03:26
FAC141,36,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath,6/04/2020 04:24
FAC104,452,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance,21/07/2020 14:43
FAC119,317,Dippin' Dots,Dinning,20,Ice Cream and Sweets,Near the Grand Carrousel,27/04/2020 20:58
FAC123,398,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,11/02/2020 10:23
FAC120,976,Moozoo 1,Dinning,20,Ice Cream and Sweets,Near the Vol Ultime,18/06/2020 22:03
FAC141,444,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath,19/03/2020 21:07
FAC104,638,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance,26/12/2019 21:32
FAC140,365,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Monstre,3/01/2020 17:39
FAC140,572,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Monstre,14/02/2020 18:16
FAC110,223,Fines Poutines Express,Dinning,20,Classic Food,Next to Splash,24/04/2020 07:35
FAC127,703,Rolopan 2,Dinning,20,Ice Cream and Sweets,Near the Ednor,20/12/2019 18:49
FAC112,33,La Centrale Burgers & Frites,Dinning,20,Classic Food,Pays de Ribambelle,27/11/2019 05:47
FAC114,774,Pizza Ronde 2,Dinning,20,Italian Food,Near the Goliath,16/01/2020 00:15
FAC108,162,Boutique Splash,Shopping,20,Appareal,Next to Splash,3/12/2019 01:32
FAC121,77,Moozoo 2,Dinning,20,Ice Cream and Sweets,Next to Splash,20/03/2020 19:03
FAC102,978,Marchand Du Village,Shopping,20,Toys/Appareal/Sundries,Secteur Village,25/11/2019 04:41
FAC122,453,Moozoo 3,Dinning,20,Ice Cream and Sweets,Near the Démon,30/06/2020 20:18
FAC124,695,Queues De Castor 2,Dinning,20,Ice Cream and Sweets,Near the Monstre,28/06/2020 22:34
FAC116,813,Poulet Etc.,Dinning,20,Classic Food,Near the Démon,18/04/2020 01:52
FAC126,226,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan,4/11/2019 01:29
FAC142,502,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,25/11/2019 23:09
FAC140,626,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Monstre,28/02/2020 03:17
FAC119,292,Dippin' Dots,Dinning,20,Ice Cream and Sweets,Near the Grand Carrousel,26/05/2020 07:40
FAC102,486,Marchand Du Village,Shopping,20,Toys/Appareal/Sundries,Secteur Village,21/06/2020 08:05
FAC123,384,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,28/11/2019 07:59
FAC134,432,Mucho Nacho Churros,Dinning,20,Mexican Food,Fort Edmonton,18/06/2020 19:44
FAC132,79,Amir,Dinning,20,Mediterranean Dishes,Fort Edmonton,22/07/2020 11:41
FAC139,845,Popcorn & Cie,Dinning,20,Snacks & Beverages,Fort Edmonton,30/06/2020 22:58
FAC111,32,Fines Poutines Plus,Dinning,20,Classic Food,Fort Edmonton,17/01/2020 20:04
FAC142,575,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,24/04/2020 06:52
FAC127,994,Rolopan 2,Dinning,20,Ice Cream and Sweets,Near the Ednor,26/12/2019 19:07
FAC107,239,Boutique Spirale,Shopping,20,Appareal,Next to Spirale,13/08/2020 23:24
FAC136,491,Saloon,Dinning,20,Snacks & Beverages,Near the Tour de Ville,30/12/2019 14:12
FAC136,443,Saloon,Dinning,20,Snacks & Beverages,Near the Tour de Ville,2/04/2020 23:29
FAC142,810,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,31/05/2020 05:45
FAC104,358,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance,27/07/2020 14:21
FAC141,234,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath,30/01/2020 08:08
FAC125,529,Queues De Castor 3,Dinning,20,Ice Cream and Sweets,Near the Goliath,13/07/2020 22:50
FAC123,75,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,15/06/2020 20:08
FAC103,580,Photo Goliath,Shopping,20,Photos and Collectables,Near the Goliath,12/08/2020 16:22
FAC138,921,Popcorn & Cie,Dinning,20,Snacks & Beverages,Pays de Ribambelle,18/05/2020 14:38
FAC112,4,La Centrale Burgers & Frites,Dinning,20,Classic Food,Pays de Ribambelle,24/07/2020 11:16
FAC139,239,Popcorn & Cie,Dinning,20,Snacks & Beverages,Fort Edmonton,13/08/2020 22:03
FAC138,85,Popcorn & Cie,Dinning,20,Snacks & Beverages,Pays de Ribambelle,27/05/2020 07:33
FAC111,430,Fines Poutines Plus,Dinning,20,Classic Food,Fort Edmonton,15/01/2020 06:41
FAC136,275,Saloon,Dinning,20,Snacks & Beverages,Near the Tour de Ville,5/05/2020 04:50
FAC120,789,Moozoo 1,Dinning,20,Ice Cream and Sweets,Near the Vol Ultime,12/11/2019 08:12
FAC123,853,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton,21/11/2019 10:04
FAC122,322,Moozoo 3,Dinning,20,Ice Cream and Sweets,Near the Démon,20/11/2019 11:12
FAC130,233,Halte Gourmande - Le Marché,Dinning,20,Light Dishes,Fort Edmonton,13/02/2020 23:09
FAC124,887,Queues De Castor 2,Dinning,20,Ice Cream and Sweets,Near the Monstre,8/01/2020 17:27
FAC134,298,Mucho Nacho Churros,Dinning,20,Mexican Food,Fort Edmonton,11/06/2020 02:56
FAC106,957,Boutique Du Far West,Shopping,20,Appareal,Fort Edmonton,9/01/2020 23:25
FAC122,964,Moozoo 3,Dinning,20,Ice Cream and Sweets,Near the Démon,16/04/2020 17:51
FAC127,216,Rolopan 2,Dinning,20,Ice Cream and Sweets,Near the Ednor,8/11/2019 23:56
FAC129,347,Halte Gourmande - Au Bol,Dinning,20,Light Dishes,Fort Edmonton,8/08/2020 20:15
FAC122,607,Moozoo 3,Dinning,20,Ice Cream and Sweets,Near the Démon,21/12/2019 22:30
FAC142,79,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton,22/07/2020 01:13
FAC116,202,Poulet Etc.,Dinning,20,Classic Food,Near the Démon,16/06/2020 15:56
FAC116,921,Poulet Etc.,Dinning,20,Classic Food,Near the Démon,18/05/2020 18:42
FAC104,299,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance,18/02/2020 00:18
FAC134,54,Mucho Nacho Churros,Dinning,20,Mexican Food,Fort Edmonton,25/12/2019 03:15
FAC134,525,Mucho Nacho Churros,Dinning,20,Mexican Food,Fort Edmonton,6/05/2020 19:21
FAC137,845,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Gare du Minirail,30/06/2020 05:06
FAC121,75,Moozoo 2,Dinning,20,Ice Cream and Sweets,Next to Splash,15/06/2020 11:11
FAC128,911,Au Comptoir Frais,Dinning,20,Light Dishes,Next to Splash,29/06/2020 19:08
FAC124,125,Queues De Castor 2,Dinning,20,Ice Cream and Sweets,Near the Monstre,14/01/2020 05:31
FAC122,561,Moozoo 3,Dinning,20,Ice Cream and Sweets,Near the Démon,24/01/2020 13:04
FAC136,37,Saloon,Dinning,20,Snacks & Beverages,Near the Tour de Ville,9/03/2020 15:42
FAC125,200,Queues De Castor 3,Dinning,20,Ice Cream and Sweets,Near the Goliath,30/04/2020 19:31
FAC116,506,Poulet Etc.,Dinning,20,Classic Food,Near the Démon,27/03/2020 11:14
FAC136,479,Saloon,Dinning,20,Snacks & Beverages,Near the Tour de Ville,13/12/2019 03:01
FAC109,471,Yo! Chine,Dinning,20,Asian Food,Next to Splash,10/12/2019 09:16
FAC113,178,Pizza Ronde 1,Dinning,20,Italian Food,Near the Gare du Minirail,14/07/2020 13:12
FAC113,444,Pizza Ronde 1,Dinning,20,Italian Food,Near the Gare du Minirail,19/03/2020 06:19
