TICKET_ID,CUSTOMER_ID,PURCHASE_DATE,PROMO_APPLIED ,CATEGORY_OF_TICKET_ID,CATEGORY_OF_TICKET_DESC,PAYMENT_ID,PAYMENT_METHOD_ID,PAYMENT_METHOD_DESC,PURCHASE_MODE ,PRICE
154,CD0039,22-02-2020,0,3,Daily Pass,154,1,Cash,Offline,150
155,CD0004,08-12-2019,1,3,Daily Pass,155,1,Cash,Offline,120
156,CD0037,15-01-2020,0,3,Daily Pass,156,3,Debit Card,Online,150
157,CD0058,06-03-2020,0,1,Annual pass,157,4,Online Payment,Online,800
158,CD0091,24-06-2020,1,1,Annual pass,158,2,Credit Card,Online,700
159,CD0091,02-11-2019,1,3,Daily Pass,159,2,Credit Card,Online,120
160,CD0145,12-02-2020,1,1,Annual pass,160,1,Cash,Offline,700
161,CD0144,23-03-2020,0,2,Parking ticket,161,3,Debit Card,Online,20
162,CD0118,03-12-2019,0,1,Annual pass,162,1,Cash,Online,800
163,CD0093,27-05-2020,1,3,Daily Pass,163,4,Online Payment,Offline,120
164,CD0021,06-03-2020,0,3,Daily Pass,164,3,Debit Card,Offline,150
165,CD0032,29-04-2020,1,2,Parking ticket,165,4,Online Payment,Online,20
166,CD0041,12-07-2020,1,1,Annual pass,166,1,Cash,Online,700
167,CD0030,14-11-2019,1,3,Daily Pass,167,3,Debit Card,Online,120
168,CD0096,28-06-2020,1,1,Annual pass,168,3,Debit Card,Online,700
169,CD0076,21-07-2020,1,3,Daily Pass,169,2,Credit Card,Offline,120
170,CD0004,24-05-2020,0,1,Annual pass,170,4,Online Payment,Online,800
171,CD0148,07-02-2020,0,1,Annual pass,171,4,Online Payment,Offline,800
172,CD0142,27-11-2019,0,3,Daily Pass,172,3,Debit Card,Online,150
173,CD0140,05-12-2019,1,2,Parking ticket,173,2,Credit Card,Offline,20
174,CD0050,28-01-2020,0,3,Daily Pass,174,1,Cash,Offline,150
175,CD0053,31-07-2020,0,1,Annual pass,175,3,Debit Card,Online,800
176,CD0087,26-02-2020,1,3,Daily Pass,176,3,Debit Card,Online,120
177,CD0068,29-03-2020,1,3,Daily Pass,177,4,Online Payment,Offline,120
178,CD0103,14-07-2020,0,3,Daily Pass,178,4,Online Payment,Offline,150
179,CD0097,20-01-2020,1,2,Parking ticket,179,4,Online Payment,Online,20
180,CD0070,08-07-2020,0,3,Daily Pass,180,2,Credit Card,Online,150
181,CD0008,15-02-2020,1,3,Daily Pass,181,1,Cash,Online,120
182,CD0128,09-07-2020,0,3,Daily Pass,182,3,Debit Card,Offline,150
183,CD0111,09-06-2020,1,2,Parking ticket,183,4,Online Payment,Online,20
184,CD0064,17-07-2020,0,1,Annual pass,184,1,Cash,Offline,800
185,CD0136,23-04-2020,0,2,Parking ticket,185,3,Debit Card,Online,20
186,CD0140,19-01-2020,0,2,Parking ticket,186,2,Credit Card,Offline,20
187,CD0047,20-06-2020,0,2,Parking ticket,187,2,Credit Card,Online,20
188,CD0077,14-12-2019,1,1,Annual pass,188,2,Credit Card,Offline,700
189,CD0093,12-08-2020,0,3,Daily Pass,189,2,Credit Card,Online,150
190,CD0132,13-12-2019,1,2,Parking ticket,190,1,Cash,Offline,20
191,CD0025,02-06-2020,0,3,Daily Pass,191,1,Cash,Online,150
192,CD0128,15-02-2020,1,1,Annual pass,192,2,Credit Card,Online,700
193,CD0095,30-04-2020,0,3,Daily Pass,193,4,Online Payment,Online,150
194,CD0084,02-02-2020,0,1,Annual pass,194,2,Credit Card,Offline,800
195,CD0108,23-11-2019,1,2,Parking ticket,195,2,Credit Card,Offline,20
196,CD0039,13-12-2019,0,3,Daily Pass,196,3,Debit Card,Offline,150
197,CD0118,10-02-2020,0,2,Parking ticket,197,4,Online Payment,Offline,20
198,CD0131,15-11-2019,1,1,Annual pass,198,1,Cash,Offline,700
199,CD0007,11-03-2020,1,3,Daily Pass,199,3,Debit Card,Online,120
200,CD0098,30-04-2020,1,2,Parking ticket,200,2,Credit Card,Offline,20
201,CD0073,23-02-2020,0,2,Parking ticket,201,3,Debit Card,Online,20
202,CD0136,16-06-2020,0,2,Parking ticket,202,4,Online Payment,Offline,20
203,CD0005,18-01-2020,1,2,Parking ticket,203,4,Online Payment,Online,20
204,CD0055,23-12-2019,0,1,Annual pass,204,3,Debit Card,Offline,800
205,CD00010,30-04-2020,1,1,Annual pass,205,2,Credit Card,Offline,700
206,CD0025,18-02-2020,0,1,Annual pass,206,4,Online Payment,Offline,800
207,CD0088,20-06-2020,1,3,Daily Pass,207,3,Debit Card,Offline,120
208,CD0035,28-01-2020,0,1,Annual pass,208,3,Debit Card,Online,800
209,CD0134,09-05-2020,1,2,Parking ticket,209,1,Cash,Online,20
210,CD0091,19-07-2020,1,1,Annual pass,210,1,Cash,Online,700
211,CD0080,12-12-2019,1,2,Parking ticket,211,1,Cash,Online,20
212,CD0144,12-08-2020,0,2,Parking ticket,212,1,Cash,Online,20
213,CD0048,01-03-2020,1,2,Parking ticket,213,3,Debit Card,Online,20
214,CD0106,16-05-2020,1,3,Daily Pass,214,3,Debit Card,Offline,120
215,CD0055,01-12-2019,1,2,Parking ticket,215,4,Online Payment,Offline,20
216,CD0020,08-11-2019,0,1,Annual pass,216,2,Credit Card,Online,800
217,CD0097,31-03-2020,1,1,Annual pass,217,3,Debit Card,Online,700
218,CD0100,29-12-2019,1,2,Parking ticket,218,1,Cash,Online,20
219,CD0093,12-12-2019,0,1,Annual pass,219,3,Debit Card,Online,800
220,CD0097,09-02-2020,1,2,Parking ticket,220,4,Online Payment,Online,20
221,CD0074,09-01-2020,0,1,Annual pass,221,3,Debit Card,Online,800
222,CD0076,23-04-2020,1,1,Annual pass,222,1,Cash,Offline,700
223,CD0046,24-04-2020,0,1,Annual pass,223,3,Debit Card,Offline,800
224,CD0048,13-02-2020,0,3,Daily Pass,224,4,Online Payment,Online,150
225,CD0143,27-02-2020,1,1,Annual pass,225,3,Debit Card,Offline,700
226,CD0040,04-11-2019,1,3,Daily Pass,226,4,Online Payment,Online,120
227,CD0057,04-02-2020,0,2,Parking ticket,227,3,Debit Card,Offline,20
228,CD0109,09-04-2020,1,1,Annual pass,228,4,Online Payment,Offline,700
229,CD0063,02-04-2020,1,1,Annual pass,229,1,Cash,Offline,700
230,CD0085,09-12-2019,1,1,Annual pass,230,1,Cash,Online,700
231,CD0124,14-04-2020,1,3,Daily Pass,231,4,Online Payment,Online,120
232,CD0061,18-01-2020,0,2,Parking ticket,232,3,Debit Card,Offline,20
233,CD0046,13-02-2020,1,1,Annual pass,233,4,Online Payment,Online,700
234,CD0092,30-01-2020,1,1,Annual pass,234,1,Cash,Online,700
235,CD0088,20-07-2020,0,3,Daily Pass,235,1,Cash,Offline,150
236,CD0022,12-06-2020,0,3,Daily Pass,236,4,Online Payment,Online,150
237,CD0113,22-05-2020,1,2,Parking ticket,237,4,Online Payment,Online,20
238,CD0050,03-03-2020,0,3,Daily Pass,238,1,Cash,Offline,150
239,CD0039,13-08-2020,0,3,Daily Pass,239,3,Debit Card,Offline,150
240,CD0060,02-06-2020,1,2,Parking ticket,240,4,Online Payment,Offline,20
241,CD0150,20-12-2019,0,2,Parking ticket,241,3,Debit Card,Offline,20
242,CD0124,18-03-2020,1,1,Annual pass,242,4,Online Payment,Offline,700
243,CD0008,12-05-2020,1,2,Parking ticket,243,2,Credit Card,Online,20
244,CD0067,22-02-2020,1,3,Daily Pass,244,2,Credit Card,Online,120
245,CD0095,29-07-2020,0,1,Annual pass,245,3,Debit Card,Offline,800
246,CD0089,02-02-2020,1,3,Daily Pass,246,3,Debit Card,Online,120
247,CD0040,25-11-2019,1,2,Parking ticket,247,2,Credit Card,Offline,20
248,CD0014,27-07-2020,1,2,Parking ticket,248,4,Online Payment,Offline,20
249,CD0025,12-07-2020,1,2,Parking ticket,249,3,Debit Card,Offline,20
250,CD0014,24-06-2020,1,1,Annual pass,250,3,Debit Card,Online,700
251,CD0068,25-11-2019,1,1,Annual pass,251,4,Online Payment,Online,700
252,CD0129,19-04-2020,0,2,Parking ticket,252,3,Debit Card,Offline,20
253,CD0094,14-03-2020,0,3,Daily Pass,253,4,Online Payment,Offline,150
254,CD0019,15-05-2020,0,1,Annual pass,254,2,Credit Card,Offline,800
255,CD0053,15-11-2019,1,2,Parking ticket,255,4,Online Payment,Online,20
256,CD0107,19-03-2020,0,3,Daily Pass,256,4,Online Payment,Offline,150
257,CD0081,05-07-2020,0,3,Daily Pass,257,2,Credit Card,Online,150
258,CD0049,29-06-2020,0,3,Daily Pass,258,4,Online Payment,Offline,150
259,CD0085,26-02-2020,1,1,Annual pass,259,4,Online Payment,Offline,700
260,CD0092,22-11-2019,1,1,Annual pass,260,1,Cash,Offline,700
261,CD0034,29-12-2019,0,3,Daily Pass,261,4,Online Payment,Offline,150
262,CD0147,11-04-2020,1,2,Parking ticket,262,1,Cash,Online,20
263,CD0027,01-03-2020,1,3,Daily Pass,263,4,Online Payment,Offline,120
264,CD0031,23-04-2020,0,3,Daily Pass,264,2,Credit Card,Online,150
265,CD0008,11-01-2020,0,2,Parking ticket,265,2,Credit Card,Offline,20
266,CD0058,04-07-2020,1,2,Parking ticket,266,1,Cash,Offline,20
267,CD0120,25-12-2019,1,1,Annual pass,267,3,Debit Card,Online,700
268,CD0037,19-06-2020,0,1,Annual pass,268,1,Cash,Offline,800
269,CD0113,30-03-2020,0,2,Parking ticket,269,2,Credit Card,Online,20
270,CD0144,07-08-2020,0,1,Annual pass,270,1,Cash,Online,800
271,CD0106,21-06-2020,1,2,Parking ticket,271,1,Cash,Offline,20
272,CD0037,27-02-2020,0,3,Daily Pass,272,1,Cash,Online,150
273,CD0058,01-08-2020,1,1,Annual pass,273,1,Cash,Online,700
274,CD0127,11-03-2020,1,2,Parking ticket,274,1,Cash,Offline,20
275,CD0127,05-05-2020,0,3,Daily Pass,275,1,Cash,Offline,150
276,CD0139,21-07-2020,0,1,Annual pass,276,1,Cash,Online,800
277,CD0091,26-06-2020,1,1,Annual pass,277,2,Credit Card,Offline,700
278,CD0072,11-03-2020,0,1,Annual pass,278,4,Online Payment,Online,800
279,CD0112,12-02-2020,0,2,Parking ticket,279,1,Cash,Offline,20
280,CD0087,03-04-2020,1,1,Annual pass,280,4,Online Payment,Offline,700
281,CD0031,11-06-2020,0,1,Annual pass,281,1,Cash,Offline,800
282,CD0141,04-02-2020,1,3,Daily Pass,282,3,Debit Card,Online,120
283,CD0017,27-05-2020,0,2,Parking ticket,283,4,Online Payment,Offline,20
284,CD0016,18-02-2020,1,2,Parking ticket,284,1,Cash,Offline,20
285,CD0146,05-06-2020,1,1,Annual pass,285,4,Online Payment,Offline,700
286,CD0073,07-03-2020,1,2,Parking ticket,286,1,Cash,Offline,20
287,CD0122,04-02-2020,1,2,Parking ticket,287,4,Online Payment,Offline,20
288,CD0012,27-12-2019,0,1,Annual pass,288,2,Credit Card,Online,800
289,CD0059,17-01-2020,1,1,Annual pass,289,3,Debit Card,Online,700
290,CD0064,16-07-2020,1,1,Annual pass,290,1,Cash,Online,700
291,CD0034,27-05-2020,0,1,Annual pass,291,4,Online Payment,Online,800
292,CD0037,26-05-2020,0,3,Daily Pass,292,3,Debit Card,Online,150
293,CD0107,08-08-2020,0,2,Parking ticket,293,3,Debit Card,Offline,20
294,CD0140,06-04-2020,0,1,Annual pass,294,3,Debit Card,Offline,800
295,CD0099,06-12-2019,0,3,Daily Pass,295,4,Online Payment,Offline,150
296,CD0045,18-12-2019,1,1,Annual pass,296,3,Debit Card,Online,700
297,CD0012,16-05-2020,0,3,Daily Pass,297,2,Credit Card,Online,150
298,CD0074,11-06-2020,1,1,Annual pass,298,4,Online Payment,Online,700
299,CD0047,18-02-2020,1,1,Annual pass,299,1,Cash,Offline,700
300,CD0147,14-02-2020,0,2,Parking ticket,300,3,Debit Card,Offline,20
301,CD0140,21-04-2020,0,2,Parking ticket,301,1,Cash,Online,20
302,CD0110,04-11-2019,0,1,Annual pass,302,1,Cash,Offline,800
303,CD0135,14-05-2020,1,2,Parking ticket,303,4,Online Payment,Offline,20
304,CD0030,16-03-2020,0,1,Annual pass,304,4,Online Payment,Offline,800
305,CD0024,06-01-2020,0,3,Daily Pass,305,2,Credit Card,Offline,150
306,CD0020,25-12-2019,1,2,Parking ticket,306,2,Credit Card,Offline,20
307,CD0147,20-01-2020,0,1,Annual pass,307,2,Credit Card,Online,800
308,CD0149,19-12-2019,1,3,Daily Pass,308,2,Credit Card,Offline,120
309,CD0007,04-04-2020,0,2,Parking ticket,309,4,Online Payment,Online,20
310,CD0146,07-11-2019,1,1,Annual pass,310,4,Online Payment,Offline,700
311,CD0017,14-07-2020,1,1,Annual pass,311,3,Debit Card,Online,700
312,CD0082,19-05-2020,1,3,Daily Pass,312,4,Online Payment,Online,120
313,CD0036,28-01-2020,0,1,Annual pass,313,4,Online Payment,Online,800
314,CD0035,12-11-2019,1,2,Parking ticket,314,3,Debit Card,Online,20
315,CD0006,09-05-2020,0,1,Annual pass,315,2,Credit Card,Offline,800
316,CD0056,17-03-2020,0,2,Parking ticket,316,4,Online Payment,Offline,20
317,CD0006,27-04-2020,0,2,Parking ticket,317,2,Credit Card,Online,20
318,CD0077,08-06-2020,1,2,Parking ticket,318,4,Online Payment,Online,20
319,CD0149,28-02-2020,1,2,Parking ticket,319,2,Credit Card,Offline,20
320,CD0013,07-11-2019,1,3,Daily Pass,320,1,Cash,Offline,120
321,CD0018,07-08-2020,0,2,Parking ticket,321,3,Debit Card,Online,20
322,CD0005,20-11-2019,1,1,Annual pass,322,4,Online Payment,Offline,700
323,CD0125,09-05-2020,1,2,Parking ticket,323,2,Credit Card,Offline,20
324,CD0099,04-02-2020,1,3,Daily Pass,324,1,Cash,Offline,120
325,CD0140,08-02-2020,1,2,Parking ticket,325,2,Credit Card,Online,20
326,CD0085,20-05-2020,1,2,Parking ticket,326,3,Debit Card,Online,20
327,CD0052,30-06-2020,0,2,Parking ticket,327,2,Credit Card,Online,20
328,CD0084,22-04-2020,0,1,Annual pass,328,3,Debit Card,Offline,800
329,CD0009,27-03-2020,1,3,Daily Pass,329,4,Online Payment,Online,120
330,CD0148,12-04-2020,0,3,Daily Pass,330,3,Debit Card,Online,150
331,CD0101,17-01-2020,1,2,Parking ticket,331,1,Cash,Offline,20
332,CD0005,28-02-2020,0,3,Daily Pass,332,3,Debit Card,Offline,150
333,CD0103,06-01-2020,0,3,Daily Pass,333,1,Cash,Offline,150
334,CD0141,03-06-2020,0,3,Daily Pass,334,1,Cash,Offline,150
335,CD0047,19-07-2020,1,3,Daily Pass,335,2,Credit Card,Online,120
336,CD0035,10-02-2020,0,2,Parking ticket,336,1,Cash,Offline,20
337,CD0018,05-04-2020,1,2,Parking ticket,337,1,Cash,Offline,20
338,CD0020,30-12-2019,1,2,Parking ticket,338,3,Debit Card,Offline,20
339,CD0116,17-05-2020,1,2,Parking ticket,339,1,Cash,Online,20
340,CD0140,08-02-2020,1,1,Annual pass,340,3,Debit Card,Offline,700
341,CD0087,15-02-2020,1,1,Annual pass,341,1,Cash,Offline,700
342,CD0093,02-12-2019,0,3,Daily Pass,342,2,Credit Card,Offline,150
343,CD0134,15-01-2020,1,3,Daily Pass,343,4,Online Payment,Online,120
344,CD0065,19-12-2019,1,2,Parking ticket,344,4,Online Payment,Offline,20
345,CD0053,18-03-2020,1,3,Daily Pass,345,2,Credit Card,Online,120
346,CD0117,20-04-2020,1,3,Daily Pass,346,2,Credit Card,Offline,120
